DATE,DGS2
25/09/2000,6.11
26/09/2000,6.07
27/09/2000,6
28/09/2000,6.02
29/09/2000,5.98
2/10/2000,5.98
3/10/2000,6
4/10/2000,6.03
5/10/2000,6.02
6/10/2000,5.98
9/10/2000,.
10/10/2000,5.98
11/10/2000,5.93
12/10/2000,5.86
13/10/2000,5.84
16/10/2000,5.89
17/10/2000,5.83
18/10/2000,5.82
19/10/2000,5.86
20/10/2000,5.84
23/10/2000,5.82
24/10/2000,5.86
25/10/2000,5.87
26/10/2000,5.9
27/10/2000,5.94
30/10/2000,5.97
31/10/2000,5.94
1/11/2000,5.88
2/11/2000,5.87
3/11/2000,5.94
6/11/2000,5.99
7/11/2000,5.99
8/11/2000,5.99
9/11/2000,5.94
10/11/2000,5.92
13/11/2000,5.9
14/11/2000,5.92
15/11/2000,5.9
16/11/2000,5.87
17/11/2000,5.88
20/11/2000,5.87
21/11/2000,5.86
22/11/2000,5.85
23/11/2000,.
24/11/2000,5.86
27/11/2000,5.86
28/11/2000,5.79
29/11/2000,5.69
30/11/2000,5.61
1/12/2000,5.62
4/12/2000,5.59
5/12/2000,5.49
6/12/2000,5.42
7/12/2000,5.45
8/12/2000,5.5
11/12/2000,5.52
12/12/2000,5.54
13/12/2000,5.45
14/12/2000,5.43
15/12/2000,5.38
18/12/2000,5.33
19/12/2000,5.35
20/12/2000,5.24
21/12/2000,5.14
22/12/2000,5.1
25/12/2000,.
26/12/2000,5.1
27/12/2000,5.1
28/12/2000,5.18
29/12/2000,5.11
1/01/2001,.
2/01/2001,4.87
3/01/2001,4.92
4/01/2001,4.77
5/01/2001,4.56
8/01/2001,4.54
9/01/2001,4.64
10/01/2001,4.76
11/01/2001,4.77
12/01/2001,4.9
15/01/2001,.
16/01/2001,4.89
17/01/2001,4.84
18/01/2001,4.72
19/01/2001,4.75
22/01/2001,4.75
23/01/2001,4.82
24/01/2001,4.81
25/01/2001,4.78
26/01/2001,4.78
29/01/2001,4.77
30/01/2001,4.7
31/01/2001,4.62
1/02/2001,4.55
2/02/2001,4.65
5/02/2001,4.68
6/02/2001,4.72
7/02/2001,4.7
8/02/2001,4.73
9/02/2001,4.67
12/02/2001,4.67
13/02/2001,4.75
14/02/2001,4.84
15/02/2001,4.89
16/02/2001,4.75
19/02/2001,.
20/02/2001,4.73
21/02/2001,4.68
22/02/2001,4.63
23/02/2001,4.53
26/02/2001,4.46
27/02/2001,4.44
28/02/2001,4.41
1/03/2001,4.41
2/03/2001,4.48
5/03/2001,4.49
6/03/2001,4.49
7/03/2001,4.43
8/03/2001,4.43
9/03/2001,4.47
12/03/2001,4.46
13/03/2001,4.46
14/03/2001,4.32
15/03/2001,4.22
16/03/2001,4.26
19/03/2001,4.32
20/03/2001,4.24
21/03/2001,4.21
22/03/2001,4.17
23/03/2001,4.24
26/03/2001,4.27
27/03/2001,4.41
28/03/2001,4.3
29/03/2001,4.27
30/03/2001,4.18
2/04/2001,4.22
3/04/2001,4.15
4/04/2001,4.12
5/04/2001,4.19
6/04/2001,4.07
9/04/2001,4.1
10/04/2001,4.24
11/04/2001,4.29
12/04/2001,4.36
13/04/2001,.
16/04/2001,4.49
17/04/2001,4.41
18/04/2001,4.26
19/04/2001,4.29
20/04/2001,4.26
23/04/2001,4.15
24/04/2001,4.16
25/04/2001,4.2
26/04/2001,4.14
27/04/2001,4.28
30/04/2001,4.3
1/05/2001,4.23
2/05/2001,4.27
3/05/2001,4.22
4/05/2001,4.14
7/05/2001,4.12
8/05/2001,4.1
9/05/2001,4.07
10/05/2001,4.17
11/05/2001,4.36
14/05/2001,4.29
15/05/2001,4.28
16/05/2001,4.25
17/05/2001,4.33
18/05/2001,4.37
21/05/2001,4.37
22/05/2001,4.34
23/05/2001,4.29
24/05/2001,4.32
25/05/2001,4.31
28/05/2001,.
29/05/2001,4.33
30/05/2001,4.34
31/05/2001,4.22
1/06/2001,4.22
4/06/2001,4.19
5/06/2001,4.12
6/06/2001,4.12
7/06/2001,4.14
8/06/2001,4.17
11/06/2001,4.11
12/06/2001,4.09
13/06/2001,4.08
14/06/2001,4.04
15/06/2001,4.01
18/06/2001,3.98
19/06/2001,3.99
20/06/2001,3.98
21/06/2001,3.99
22/06/2001,3.93
25/06/2001,3.96
26/06/2001,4.03
27/06/2001,4.06
28/06/2001,4.22
29/06/2001,4.25
2/07/2001,4.21
3/07/2001,4.24
4/07/2001,.
5/07/2001,4.24
6/07/2001,4.16
9/07/2001,4.15
10/07/2001,4.08
11/07/2001,4.07
12/07/2001,4.07
13/07/2001,4.12
16/07/2001,4.07
17/07/2001,4.09
18/07/2001,3.96
19/07/2001,3.98
20/07/2001,3.98
23/07/2001,3.98
24/07/2001,3.97
25/07/2001,3.98
26/07/2001,3.94
27/07/2001,3.87
30/07/2001,3.86
31/07/2001,3.79
1/08/2001,3.83
2/08/2001,3.89
3/08/2001,3.91
6/08/2001,3.88
7/08/2001,3.9
8/08/2001,3.77
9/08/2001,3.77
10/08/2001,3.73
13/08/2001,3.7
14/08/2001,3.74
15/08/2001,3.8
16/08/2001,3.75
17/08/2001,3.67
20/08/2001,3.74
21/08/2001,3.69
22/08/2001,3.76
23/08/2001,3.72
