Date,Price,Open,High,Low,Change %
Sep 22,4.2603,3.4971,4.3558,3.3824,21.90%
Aug 22,3.4950,2.9209,3.5030,2.8256,20.91%
Jul 22,2.8905,2.9817,3.2695,2.7334,-2.20%
Jun 22,2.9554,2.5750,3.4560,2.5610,15.33%
May 22,2.5626,2.7450,2.8580,2.4380,-6.16%
Apr 22,2.7309,2.3430,2.7890,2.2740,16.98%
Mar 22,2.3346,1.4560,2.4530,1.2610,62.54%
Feb 22,1.4363,1.1850,1.6430,1.1320,21.25%
Jan 22,1.1846,0.7660,1.2280,0.7520,61.37%
Dec 21,0.7341,0.5990,0.7640,0.5470,29.47%
Nov 21,0.5670,0.5250,0.6870,0.3890,13.17%
Oct 21,0.5010,0.2790,0.5640,0.2600,78.04%
Sep 21,0.2814,0.2130,0.3210,0.1960,33.18%
Aug 21,0.2113,0.1840,0.2500,0.1610,12.51%
Jul 21,0.1878,0.2520,0.2690,0.1880,-25.62%
Jun 21,0.2525,0.1430,0.2840,0.1430,79.59%
May 21,0.1406,0.1640,0.1760,0.1350,-13.37%
Apr 21,0.1623,0.1600,0.1940,0.1450,0.06%
Mar 21,0.1622,0.1230,0.1710,0.1170,25.83%
Feb 21,0.1289,0.1110,0.1940,0.1050,15.81%
Jan 21,0.1113,0.1230,0.1530,0.1110,-9.51%
Dec 20,0.1230,0.1500,0.1740,0.1090,-18.27%
Nov 20,0.1505,0.1540,0.1900,0.1430,-3.77%
